Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20050321X00340,Accident,MIA05LA076A,2005-03-13,"BRADFORDVILLE, FL",United States,30.609166,-84.296389,TLH,TALLAHASSEE REGIONAL,Non-Fatal,Substantial,N7706N,Piper,PA-28-180,No,1,Piston,Personal,0.0,0.0,0.0,4.0,VMC,Descent,Probable Cause,31-01-2006,4.0,0.0,0.0,False,Piper PA-28-180
20050401X00396,Accident,MIA05CA078,2005-03-13,"ORANGE SPRINGS, FL",United States,29.484722,-82.021945,FD02,85TH AVENUE AIRSTRIP,Non-Fatal,Substantial,N5341D,Cessna,180A,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 180A
20050321X00341,Accident,LAX05FA114,2005-03-13,"BIG BEAR CITY, CA",United States,34.259444,-116.884444,L35,Big Bear City,Non-Fatal,Substantial,N9956W,Piper,PA-28-140,No,1,Piston,Personal,0.0,1.0,3.0,0.0,VMC,Takeoff,Probable Cause,31-07-2006,4.0,1.0,0.25,False,Piper PA-28-140
20050322X00347,Accident,NYC05FA058,2005-03-13,"Chesapeake, OH",United States,38.418056,-82.505278,HTW,Lawrence County Airpark,Fatal(3),Destroyed,N6511L,Grumman American,AA-5,No,1,Piston,Personal,3.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,25-04-2006,3.0,3.0,1.0,True,Grumman American AA-5
20050323X00354,Accident,NYC05LA060,2005-03-14,"MILLERSBURG, OH",United States,40.536944,-81.9475,10G,HOLMES COUNTY,Non-Fatal,Substantial,C-FLPB,Piper,PA-32-300,No,1,Piston,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,31-10-2006,1.0,0.0,0.0,False,Piper PA-32-300
20050317X00320,Accident,LAX05LA116,2005-03-15,"FLAGSTAFF, AZ",United States,35.138611,-111.671111,FLG,Flagstaff Puliam Airport,Non-Fatal,Substantial,N504SR,Piper,PA-46-500TP,No,1,Turboprop,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-08-2006,2.0,0.0,0.0,False,Piper PA-46-500TP
20050414X00453,Accident,DEN05CA062,2005-03-15,"FARMINGTON, NM",United States,36.738055,-108.224445,FMN,Four Corners Regional Airport,Non-Fatal,Substantial,N435P,Beech,A36,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Beech A36
20050512X00602,Accident,ANC05CA049,2005-03-15,"ELIM, AK",United States,64.6,-162.266667,,,Non-Fatal,Substantial,N422R,Bell,206B,No,1,Turbo Shaft,Business,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,07-07-2005,2.0,0.0,0.0,False,Bell 206B
20050323X00352,Accident,IAD05LA045,2005-03-16,"PORT ROYAL, VA",United States,38.168056,-77.2075,,,Non-Fatal,Substantial,N64986,Cessna,152,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,07-07-2005,2.0,0.0,0.0,False,Cessna 152
20050401X00390,Accident,MIA05LA081,2005-03-18,"PANAMA CITY, FL",United States,30.212222,-85.682778,PFN,PANAMA CITY-BAY CO INTL,Non-Fatal,Substantial,N231SK,Beech,C-45H,No,2,Turboprop,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-10-2005,1.0,0.0,0.0,False,Beech C-45H
